,-100 s,-99 s,-98 s,-97 s,-96 s,-95 s,-94 s,-93 s,-92 s,-91 s,-90 s,-89 s,-88 s,-87 s,-86 s,-85 s,-84 s,-83 s,-82 s,-81 s,-80 s,-79 s,-78 s,-77 s,-76 s,-75 s,-74 s,-73 s,-72 s,-71 s,-70 s,-69 s,-68 s,-67 s,-66 s,-65 s,-64 s,-63 s,-62 s,-61 s,-60 s,-59 s,-58 s,-57 s,-56 s,-55 s,-54 s,-53 s,-52 s,-51 s,-50 s,-49 s,-48 s,-47 s,-46 s,-45 s,-44 s,-43 s,-42 s,-41 s,-40 s,-39 s,-38 s,-37 s,-36 s,-35 s,-34 s,-33 s,-32 s,-31 s,-30 s,-29 s,-28 s,-27 s,-26 s,-25 s,-24 s,-23 s,-22 s,-21 s,-20 s,-19 s,-18 s,-17 s,-16 s,-15 s,-14 s,-13 s,-12 s,-11 s,-10 s,-9 s,-8 s,-7 s,-6 s,-5 s,-4 s,-3 s,-2 s,-1 s,0 s,1 s,2 s,3 s,4 s,5 s,6 s,7 s,8 s,9 s,10 s,11 s,12 s,13 s,14 s,15 s,16 s,17 s,18 s,19 s,20 s,21 s,22 s,23 s,24 s,25 s,26 s,27 s,28 s,29 s,30 s,31 s,32 s,33 s,34 s,35 s,36 s,37 s,38 s,39 s,40 s,41 s,42 s,43 s,44 s,45 s,46 s,47 s,48 s,49 s,50 s,51 s,52 s,53 s,54 s,55 s,56 s,57 s,58 s,59 s,60 s,61 s,62 s,63 s,64 s,65 s,66 s,67 s,68 s,69 s,70 s,71 s,72 s,73 s,74 s,75 s,76 s,77 s,78 s,79 s,80 s,81 s,82 s,83 s,84 s,85 s,86 s,87 s,88 s,89 s,90 s,91 s,92 s,93 s,94 s,95 s,96 s,97 s,98 s,99 s,100 s
第5节龙身x (m),0.390521,1.381351,2.351304,3.287956,4.179183,5.013322,5.779328,6.466932,7.066788,7.570616,7.971332,8.263163,8.441751,8.504238,8.449335,8.277367,7.990299,7.591742,7.08693,6.48268,5.787319,5.010601,4.163582,3.258493,2.308574,1.327897,0.331175,-0.666456,-1.649657,-2.603119,-3.511806,-4.361197,-5.137527,-5.828025,-6.421142,-6.906767,-7.276425,-7.523457,-7.643169,-7.632956,-7.492402,-7.223327,-6.829817,-6.318201,-5.696994,-4.976797,-4.170156,-3.29138,-2.356324,-1.382126,-0.386924,0.610467,1.590897,2.535249,3.424807,4.241646,4.969004,5.591663,6.096295,6.471796,6.70958,6.803831,6.75171,6.553503,6.212705,5.736041,5.133412,4.417764,3.604887,2.713138,1.763082,0.777078,-0.221208,-1.207343,-2.156705,-3.045099,-3.849395,-4.548159,-5.122281,-5.555566,-5.83528,-5.952626,-5.903137,-5.686969,-5.309071,-4.779231,-4.11198,-3.326338,-2.445425,-1.495903,-0.507286,0.488889,1.460011,2.373433,3.197587,3.90312,4.464043,4.858824,5.071399,5.092045,4.918076,4.561462,4.043591,3.366954,2.552027,1.637548,0.667125,-0.325082,-1.287512,-2.178897,-3.000174,-3.46877,-3.672826,-3.764779,-3.603097,-2.820665,-1.813354,-0.863127,0.176935,1.047694,2.058274,2.941049,3.236635,2.826765,2.022368,1.105582,0.124365,-0.875035,-1.847245,-2.749712,-3.544376,-4.199014,-4.688237,-4.994146,-5.106633,-5.023366,-4.749478,-4.297005,-3.684113,-2.934148,-2.074585,-1.13589,-0.150361,0.849022,1.829697,2.760541,3.612783,4.360798,4.982748,5.461089,5.782906,5.940117,5.929505,5.752633,5.415618,4.928798,4.306303,3.565545,2.726648,1.81184,0.844814,-0.14991,-1.147621,-2.124021,-3.055797,-3.921142,-4.700218,-5.375552,-5.932363,-6.358815,-6.646186,-6.788974,-6.78492,-6.634959,-6.343113,-5.916317,-5.364191,-4.698772,-3.9342,-3.086378,-2.172606,-1.211208,-0.221144,0.778368,1.768228,2.729809,3.645297,4.497993,5.272597,5.95545,6.534738,7.000658,7.345544,7.563948,7.652684,7.610831,7.439696,7.142739,6.725471,6.195314,5.561438
第5节龙身y (m),8.904582,8.77469,8.534278,8.18603,7.734041,7.183786,6.542078,5.816996,5.017808,4.154864,3.23948,2.283801,1.300653,0.30338,-0.694332,-1.678636,-2.635718,-3.551987,-4.414278,-5.210045,-5.927556,-6.556077,-7.086053,-7.509266,-7.818992,-8.010127,-8.0793,-8.024955,-7.847421,-7.548939,-7.133671,-6.607672,-5.97884,-5.256822,-4.452903,-3.579851,-2.651745,-1.683769,-0.691978,0.306946,1.295972,2.258001,3.176165,4.034125,4.816378,5.508553,6.097695,6.572545,6.923779,7.144239,7.22912,7.17612,6.985548,6.660393,6.206329,5.631676,4.947308,4.166496,3.30471,2.379354,1.409457,0.415318,-0.581894,-1.560573,-2.499139,-3.376515,-4.172619,-4.868848,-5.448557,-5.897503,-6.204265,-6.3606,-6.361751,-6.20668,-5.898216,-5.443114,-4.852018,-4.139324,-3.322926,-2.423872,-1.465904,-0.474906,0.521738,1.495861,2.419294,3.264689,4.006361,4.621134,5.089148,5.394625,5.526533,5.479154,5.252504,4.852584,4.291454,3.587091,2.763036,1.847812,0.874124,-0.122162,-1.103225,-2.016667,-2.82878,-3.533752,-4.09575,-4.47991,-4.665973,-4.644732,-4.414283,-3.982448,-3.309272,-2.607706,-2.046021,-1.368111,-0.331361,0.882019,1.509056,1.697922,1.549912,1.112565,0.980673,1.550723,2.526022,3.481948,4.076285,4.474915,4.666133,4.643668,4.411132,3.981272,3.374888,2.619499,1.747837,0.796243,-0.196951,-1.193011,-2.154279,-3.045516,-3.835062,-4.49579,-5.005837,-5.349113,-5.515577,-5.5013,-5.308322,-4.944333,-4.422187,-3.759297,-2.976914,-2.099341,-1.153099,-0.166071,0.833342,1.817036,2.757971,3.630865,4.412811,5.083793,5.62711,6.029687,6.282284,6.379596,6.320252,6.106723,5.745133,5.244998,4.618898,3.88209,3.052073,2.148132,1.190849,0.201613,-0.797869,-1.786047,-2.741983,-3.645774,-4.478933,-5.224733,-5.868499,-6.397843,-6.802854,-7.076223,-7.213319,-7.212207,-7.073618,-6.800865,-6.399715,-5.878224,-5.246532,-4.516626,-3.702083,-2.817787,-1.879641,-0.90426,0.09133,1.089992,2.074773,3.029186,3.937468,4.784834,5.557686
第6节龙身x (m),-1.2592,-0.261408,0.736257,1.721236,2.680999,3.60321,4.475888,5.287566,6.027452,6.685583,7.252967,7.721728,8.085222,8.338159,8.476692,8.498503,8.402857,8.190648,7.864412,7.428327,6.888181,6.251324,5.52659,4.724196,3.855624,2.93347,1.971284,0.983382,-0.015353,-1.00969,-1.984275,-2.923869,-3.813587,-4.639145,-5.387097,-6.045072,-6.601996,-7.048307,-7.376139,-7.579499,-7.654405,-7.599002,-7.413643,-7.100933,-6.665738,-6.115151,-5.458422,-4.706841,-3.873586,-2.973525,-2.022985,-1.039482,-0.041425,0.952222,1.922279,2.849728,3.716088,4.503795,5.196583,5.77985,6.241005,6.569783,6.75853,6.80244,6.699739,6.451814,6.063276,5.541953,4.898813,4.147807,3.305642,2.391473,1.426529,0.433671,-0.563114,-1.539268,-2.470253,-3.332176,-4.102428,-4.760311,-5.287661,-5.66942,-5.894161,-5.954541,-5.847654,-5.57529,-5.144057,-4.565387,-3.855375,-3.034493,-2.127129,-1.160995,-0.166379,0.824723,1.779586,2.665829,3.452531,4.111385,4.617824,4.952091,5.100207,5.057014,4.831779,4.42474,3.843092,3.111055,2.261789,1.322915,0.340579,-0.645634,-1.655115,-2.380771,-2.843034,-3.279011,-3.689014,-3.665066,-3.140586,-2.433269,-1.471813,-0.498601,0.472194,1.390743,2.403216,3.117716,3.17158,2.56728,1.717292,0.773069,-0.219719,-1.214876,-2.16778,-3.037241,-3.787065,-4.387279,-4.815014,-5.055036,-5.099931,-4.949991,-4.612809,-4.102635,-3.439539,-2.648423,-1.757931,-0.799299,0.194805,1.191418,2.158359,3.065213,3.884211,4.590965,5.16507,5.590549,5.856141,5.955449,5.886926,5.653741,5.263518,4.72796,4.062395,3.285245,2.417436,1.481777,0.502324,-0.496263,-1.489347,-2.452904,-3.364085,-4.201713,-4.946726,-5.58255,-6.095397,-6.474493,-6.712226,-6.804216,-6.74932,-6.54956,-6.209992,-5.738509,-5.145605,-4.444083,-3.648736,-2.775996,-1.843562,-0.870024,0.125523,1.12386,2.10601,3.05359,3.949136,4.776406,5.520642,6.168803,6.709756,7.134427,7.435912,7.609546,7.652931,7.565926,7.350594,7.011124,6.553706
第6节龙身y (m),8.874246,8.929093,8.872101,8.70361,8.425376,8.040573,7.553781,6.970944,6.299323,5.547421,4.724893,3.842437,2.911674,1.945001,0.955441,-0.043522,-1.038127,-2.014517,-2.958935,-3.857917,-4.69849,-5.468371,-6.156154,-6.751496,-7.245289,-7.629817,-7.898906,-8.04804,-8.074471,-7.977291,-7.757489,-7.417973,-6.963564,-6.400966,-5.738691,-4.986969,-4.157616,-3.263874,-2.320228,-1.342188,-0.346056,0.651337,1.632906,2.581599,3.4807,4.314128,5.066739,5.724623,6.275385,6.708408,7.015098,7.18909,7.226432,7.125715,6.888171,6.517716,6.020947,5.407078,4.687829,3.877256,2.991524,2.048634,1.068092,0.07054,-0.922656,-1.889851,-2.809588,-3.661082,-4.424713,-5.082504,-5.618595,-6.019674,-6.275379,-6.378642,-6.325965,-6.11763,-5.757814,-5.25462,-4.619999,-3.869579,-3.022379,-2.100419,-1.128238,-0.132299,0.85967,1.819424,2.718994,3.53152,4.232095,4.798605,5.212515,5.459612,5.530635,5.42179,5.135121,4.6787,4.066624,3.31881,2.460557,1.521892,0.536692,-0.442841,-1.379209,-2.267423,-3.068301,-3.737429,-4.242244,-4.563458,-4.682275,-4.592042,-4.264947,-3.848173,-3.472185,-2.944984,-1.979123,-0.535545,0.528773,1.190819,1.614183,1.688301,1.43548,0.985877,1.101974,1.857803,2.892304,3.709449,4.23592,4.564606,4.682534,4.586894,4.284549,3.791158,3.130005,2.330587,1.427074,0.456685,-0.541926,-1.530224,-2.471236,-3.330827,-4.078798,-4.689763,-5.143801,-5.426888,-5.531096,-5.454582,-5.201385,-4.78104,-4.208058,-3.501263,-2.683059,-1.778616,-0.815026,0.179548,1.176715,2.148652,3.068846,3.912771,4.658461,5.287005,5.782923,6.134449,6.333698,6.376733,6.263527,5.997843,5.587014,5.04166,4.375334,3.604125,2.746205,1.821367,0.850529,-0.144751,-1.142766,-2.122126,-3.062204,-3.943543,-4.748231,-5.46022,-6.065602,-6.55283,-6.912883,-7.139374,-7.228608,-7.179582,-6.993934,-6.675846,-6.2319,-5.670903,-5.003662,-4.242749,-3.402229,-2.497374,-1.544369,-0.560007,0.43861,1.434377,2.410471,3.350625,4.23939
第7节龙身x (m),-2.875379,-1.90453,-0.913396,0.085751,1.080415,2.058029,3.006115,3.912441,4.765188,5.553106,6.265675,6.893254,7.427222,7.86012,8.185762,8.399349,8.497557,8.478611,8.342339,8.090204,7.725312,7.252405,6.67782,6.009429,5.25656,4.429881,3.541277,2.603695,1.630969,0.637636,-0.361278,-1.350473,-2.314612,-3.23855,-4.107586,-4.907701,-5.625796,-6.249926,-6.769521,-7.175585,-7.460884,-7.620109,-7.650003,-7.549468,-7.319634,-6.963889,-6.487875,-5.899443,-5.20856,-4.427189,-3.569113,-2.649733,-1.685816,-0.695219,0.303421,1.291028,2.24844,3.156784,3.997855,4.7545,5.41099,5.953383,6.369859,6.651027,6.790194,6.783582,6.630499,6.333439,5.898127,5.333485,4.651526,3.86718,2.998028,2.063984,1.086884,0.09003,-0.902337,-1.865604,-2.775393,-3.608189,-4.341976,-4.956869,-5.435715,-5.764653,-5.933619,-5.93676,-5.772762,-5.445058,-4.961915,-4.336383,-3.58609,-2.732896,-1.802387,-0.823231,0.173616,1.155815,2.090658,2.946158,3.692184,4.301601,4.75139,5.020832,5.107109,5.009042,4.720882,4.250792,3.618715,2.843359,1.960641,1.004035,-0.055966,-0.881964,-1.448167,-2.058534,-2.892099,-3.633852,-3.750288,-3.499073,-2.906015,-2.1186,-1.16064,-0.127341,0.763396,1.742732,2.713529,3.216714,3.021942,2.288347,1.40083,0.434579,-0.564295,-1.549896,-2.478576,-3.310697,-4.012077,-4.555104,-4.919493,-5.092699,-5.069995,-4.854249,-4.455437,-3.889924,-3.179572,-2.350707,-1.433004,-0.458331,0.540408,1.530398,2.479956,3.359484,4.1423,4.80533,5.329654,5.700898,5.909474,5.950669,5.824592,5.535988,5.09394,4.511465,3.805027,2.993985,2.099993,1.146366,0.157446,-0.842044,-1.82761,-2.775573,-3.663605,-4.471216,-5.180163,-5.774805,-6.242379,-6.57319,-6.760742,-6.801782,-6.696275,-6.447312,-6.06096,-5.546044,-4.913894,-4.178043,-3.353894,-2.458364,-1.509505,-0.526127,0.472587,1.46746,2.43968,3.371148,4.244789,5.044847,5.757135,6.369253,6.870768,7.253348,7.510861,7.639427,7.637436,7.505519,7.246489
第7节龙身y (m),8.541881,8.778583,8.905936,8.921988,8.826163,8.619292,8.303626,7.882828,7.361956,6.74742,6.04692,5.269368,4.424795,3.524234,2.57959,1.603496,0.609153,-0.38984,-1.379668,-2.346487,-3.276621,-4.156755,-4.974135,-5.716762,-6.373578,-6.934652,-7.391341,-7.736451,-7.964369,-8.071183,-8.054775,-7.91489,-7.653182,-7.273224,-6.780493,-6.18233,-5.487853,-4.707857,-3.85467,-2.941986,-1.984668,-0.998528,-7.7e-05,0.993734,1.965801,2.899156,3.777272,4.584359,5.305671,5.927792,6.438916,6.829101,7.090503,7.217576,7.207232,7.058969,6.774943,6.360001,5.821651,5.169989,4.417559,3.579174,2.671661,1.713578,0.724862,-0.27355,-1.26015,-2.213308,-3.11175,-3.935042,-4.664081,-5.281575,-5.772496,-6.124512,-6.328363,-6.378183,-6.27176,-6.010706,-5.60055,-5.050729,-4.374481,-3.58863,-2.71327,-1.771336,-0.788089,0.209505,1.193467,2.135569,3.008139,3.784908,4.441844,4.957986,5.316212,5.503945,5.513751,5.3438,4.998183,4.487033,3.82646,3.038257,2.1494,1.206762,0.247658,-0.724345,-1.671166,-2.544324,-3.303493,-3.922559,-4.36939,-4.625112,-4.671423,-4.538157,-4.353575,-4.05536,-3.423916,-2.185249,-1.004447,-0.068769,0.798363,1.375088,1.672869,1.632346,1.284982,0.945709,1.307158,2.192631,3.225778,3.911588,4.372179,4.629322,4.673567,4.505513,4.13517,3.580976,2.868529,2.029125,1.098178,0.113593,-0.88584,-1.861958,-2.778625,-3.602944,-4.306283,-4.865075,-5.261397,-5.483315,-5.525014,-5.386716,-5.074411,-4.599423,-3.977834,-3.229799,-2.378775,-1.450698,-0.47313,0.525589,1.517171,2.474164,3.370666,4.182973,4.890124,5.474354,5.921443,6.220953,6.366364,6.355099,6.188467,5.871493,5.412687,4.823729,4.119102,3.315668,2.432219,1.488995,0.507194,-0.491517,-1.485489,-2.453544,-3.375415,-4.232139,-5.006416,-5.682909,-6.248507,-6.692521,-7.006834,-7.185991,-7.227232,-7.130479,-6.898266,-6.535627,-6.04994,-5.450732,-4.749453,-3.959225,-3.094566,-2.171101,-1.205262,-0.213985,0.785595,1.776435,2.741875
第8节龙身x (m),-4.403831,-3.492364,-2.541218,-1.561972,-0.566671,0.432321,1.422466,2.391211,3.326144,4.215162,5.046623,5.809517,6.49361,7.089602,7.589262,7.985558,8.272777,8.446621,8.504298,8.444585,8.267872,7.976195,7.573228,7.064272,6.456204,5.757412,4.977699,4.128172,3.221102,2.269761,1.288249,0.291295,-0.705956,-1.688167,-2.64004,-3.546559,-4.393233,-5.166338,-5.853149,-6.442176,-6.923373,-7.288334,-7.530479,-7.645193,-7.629959,-7.484444,-7.210559,-6.812473,-6.2966,-5.671532,-4.947945,-4.138448,-3.25741,-2.320728,-1.345579,-0.350123,0.646816,1.626094,2.568609,3.455679,4.269425,4.993145,5.611692,6.111823,6.482525,6.715314,6.804481,6.747299,6.544166,6.198688,5.7177,5.111201,4.392232,3.576663,2.682917,1.731611,0.745135,-0.252832,-1.237862,-2.185363,-3.071189,-3.872278,-4.567286,-5.137207,-5.565966,-5.84096,-5.953531,-5.899356,-5.678731,-5.296745,-4.76331,-4.093068,-3.305134,-2.422692,-1.472449,-0.483929,0.511352,1.480836,2.391962,3.213272,3.915558,4.465446,4.84921,5.065141,5.096173,4.934692,4.586362,4.059901,3.377867,2.564477,1.584637,0.763768,0.168875,-0.507286,-1.511622,-2.736433,-3.458688,-3.739295,-3.69339,-3.329106,-2.672719,-1.773751,-0.833873,0.203838,1.076847,2.089337,2.960138,3.234505,2.804528,1.994647,1.074819,0.092009,-0.90749,-1.878329,-2.778045,-3.568725,-4.218336,-4.701719,-5.001226,-5.107011,-5.01701,-4.73661,-4.278089,-3.659821,-2.905336,-2.042251,-1.101136,-0.114354,0.885094,1.864663,2.793285,3.642277,4.38613,5.003149,5.475946,5.791784,5.942755,5.925829,5.742744,5.39979,4.907461,4.28003,3.53503,2.692686,1.775304,0.80663,-0.188789,-1.186236,-2.161435,-3.091112,-3.953525,-4.728913,-5.3999,-5.951814,-6.372934,-6.654664,-6.791631,-6.781704,-6.625945,-6.328498,-5.896414,-5.339419,-4.669645,-3.901314,-3.050397,-2.134248,-1.171229,-0.180323,0.819245,1.808383,2.768488,3.68178,4.53161,5.302738,5.981574,6.556383,7.017447,7.357188,7.570252,7.653547,7.606248
第8节龙身y (m),7.920323,8.329938,8.636314,8.835337,8.924184,8.901377,8.766827,8.521856,8.169207,7.713031,7.15886,6.51356,5.785262,4.983276,4.117995,3.200768,2.243771,1.25985,0.262364,-0.734993,-1.718376,-2.673978,-3.588226,-4.44798,-5.240727,-5.954773,-6.579435,-7.105208,-7.523937,-7.828963,-8.015251,-8.079501,-8.020236,-7.837858,-7.534686,-7.114957,-6.584799,-5.952179,-5.226808,-4.420029,-3.544662,-2.614828,-1.645742,-0.653487,0.345246,1.333423,2.293955,3.209996,4.06524,4.844229,5.532647,6.117605,6.587917,6.934343,7.149815,7.22962,7.171553,6.976026,6.646124,6.187616,5.608915,4.92098,4.137159,3.272988,2.345924,1.375037,0.380652,-0.616054,-1.593483,-2.530078,-3.404806,-4.197642,-4.890058,-5.465498,-5.90982,-6.211715,-6.36306,-6.359224,-6.199297,-5.886232,-5.426906,-4.832078,-4.116242,-3.29738,-2.396607,-1.437712,-0.4466,0.549343,1.521978,2.44319,3.285707,4.023946,4.634851,5.098702,5.399871,5.527484,5.475984,5.24554,4.842296,4.278435,3.572033,2.760483,1.877378,0.924701,-0.064413,-1.042731,-1.96702,-2.807873,-3.524423,-4.088904,-4.495583,-4.656766,-4.681711,-4.617614,-4.327676,-3.569857,-2.628476,-1.701189,-0.651651,0.253849,1.012479,1.52356,1.698783,1.540944,1.097943,0.987841,1.576936,2.559817,3.504923,4.092026,4.484342,4.668762,4.639341,4.400013,3.963822,3.351834,2.591791,1.716601,0.762727,-0.231433,-1.22713,-2.186744,-3.07512,-3.860725,-4.516589,-5.021038,-5.358186,-5.518209,-5.497395,-5.298001,-4.927917,-4.400187,-3.732387,-2.945906,-2.065159,-1.116744,-0.128592,0.870878,1.853579,2.792513,3.662468,4.440628,5.107092,5.645285,6.042274,6.288967,6.380211,6.314788,6.095316,5.728061,5.222669,4.591838,3.850927,3.017521,2.110973,1.151911,0.161753,-0.837783,-1.825159,-2.779464,-3.680839,-4.510857,-5.252866,-5.892275,-6.41679,-6.816602,-7.084508,-7.215987,-7.209216,-7.065031,-6.786851,-6.380543,-5.854255,-5.21821,-4.48447,-3.666675,-2.77976,-1.839666,-0.863037,0.133089,1.131572
第9节龙身x (m),-5.794176,-4.97203,-4.092441,-3.165933,-2.203709,-1.217525,-0.21955,0.777773,1.761885,2.720263,3.640586,4.510893,5.319745,6.056384,6.710885,7.274304,7.738814,8.097828,8.346113,8.479887,8.496896,8.396471,8.179572,7.848805,7.408411,6.864244,6.223712,5.495706,4.690495,3.819605,2.89567,1.932271,0.943748,-0.055003,-1.048747,-2.022135,-2.95994,-3.847303,-4.669973,-5.414547,-6.068705,-6.621434,-7.063235,-7.386319,-7.58477,-7.654688,-7.594304,-7.404057,-7.086638,-6.646998,-6.092312,-5.431905,-4.677139,-3.841252,-2.939165,-1.987247,-1.003046,-0.004986,0.987962,1.95663,2.882022,3.745694,4.530134,5.21914,5.798185,6.254765,6.578711,6.762472,6.801349,6.69368,6.440963,6.047918,5.522479,4.875709,4.121648,3.277075,2.361207,1.395314,0.402283,-0.593897,-1.568682,-2.49757,-3.356727,-4.123619,-4.777645,-5.300749,-5.677997,-5.898097,-5.953843,-5.842472,-5.565908,-5.130894,-4.548975,-3.836351,-3.013569,-2.105073,-1.138598,-0.144427,0.845482,1.798475,2.68227,3.454653,4.093049,4.595992,4.937681,5.096555,5.064495,4.840351,4.431953,3.852536,3.066569,2.349451,1.799227,1.142632,0.100383,-1.313378,-2.362038,-3.081529,-3.596612,-3.765259,-3.608288,-3.114609,-2.408879,-1.44423,-0.465114,0.49796,1.422381,2.433385,3.129969,3.161063,2.54189,1.687925,0.741128,-0.252738,-1.247459,-2.198463,-3.064675,-3.810065,-4.404872,-4.826468,-5.059877,-5.097956,-4.941263,-4.597643,-4.081578,-3.413342,-2.618005,-1.724343,-0.763681,0.231265,1.227523,2.192944,3.097183,3.912568,4.614839,5.183742,5.603465,5.862925,5.955905,5.881044,5.641687,5.245623,4.704711,4.034414,3.25327,2.382295,1.444371,0.463596,-0.535351,-1.527835,-2.489862,-3.398633,-4.233039,-4.974105,-5.605356,-6.113117,-6.486736,-6.718726,-6.804838,-6.744058,-6.538534,-6.193441,-5.716787,-5.119166,-4.413474,-3.614582,-2.738983,-1.804426,-0.829534,0.166582,1.164701,2.145858,3.091699,3.984802,4.808976,5.549527,6.193489,6.729808,7.149497,7.445745,7.613979
第9节龙身y (m),7.031818,7.599809,8.073991,8.448285,8.717773,8.878782,8.928953,8.867284,8.694175,8.411441,8.022318,7.531438,6.944804,6.269728,5.51476,4.689599,3.804983,2.872563,1.904764,0.914629,-0.084347,-1.0784,-2.053675,-2.996426,-3.89321,-4.731081,-5.497792,-6.18198,-6.77335,-7.26285,-7.642829,-7.907176,-8.051448,-8.072969,-7.970908,-7.746329,-7.402216,-6.943465,-6.376849,-5.710951,-4.95606,-4.124047,-3.228204,-2.283053,-1.304135,-0.307771,0.6892,1.669694,2.616675,3.513452,4.343982,5.093169,5.747162,6.293634,6.722046,7.023888,7.192888,7.225185,7.11947,6.877073,6.502008,6.000964,5.383246,4.660654,3.847316,2.95946,2.015133,1.033876,0.03635,-0.956076,-1.921772,-2.839312,-3.68796,-4.448158,-5.102012,-5.633753,-6.030174,-6.281028,-6.379368,-6.321821,-6.108795,-5.74459,-5.237424,-4.599356,-3.846107,-2.996773,-2.073432,-1.100657,-0.104925,0.886051,1.844064,2.741208,3.550712,4.24778,4.810422,5.220252,5.463205,5.530179,5.417535,5.127463,4.668163,4.064628,3.343911,2.506599,1.577957,0.59931,-0.387815,-1.35412,-2.255012,-3.057689,-3.770064,-4.200577,-4.427834,-4.601102,-4.679726,-4.404971,-3.8613,-3.214412,-2.298811,-1.337462,-0.346643,0.561998,1.206994,1.620769,1.685188,1.423751,0.97877,1.117352,1.887336,2.92499,3.729225,4.249772,4.571836,4.682773,4.580104,4.271008,3.771437,3.104928,2.301188,1.394542,0.422313,-0.576797,-1.56426,-2.503157,-3.359457,-4.103101,-4.708873,-5.15705,-5.43382,-5.531473,-5.448388,-5.188815,-4.762491,-4.184103,-3.472637,-2.650623,-1.743331,-0.777922,0.217406,1.214256,2.18483,3.102671,3.943328,4.684938,5.308708,5.799295,6.145075,6.338314,6.375229,6.255946,5.984372,5.567981,5.017518,4.346651,3.571563,2.710509,1.783339,0.811015,-0.184886,-1.182652,-2.160911,-3.099069,-3.977721,-4.77902,-5.486995,-6.087827,-6.570068,-6.924799,-7.145743,-7.229314,-7.174621,-6.983407,-6.659959,-6.210956,-5.645294,-4.973863,-4.209303,-3.365738,-2.458488,-1.503773,-0.51841
第10节龙身x (m),-7.001393,-6.29509,-5.51575,-4.672524,-3.775429,-2.835237,-1.863357,-0.871703,0.127442,1.121581,2.098148,3.044674,3.948946,4.799166,5.584114,6.293307,6.917144,7.447053,7.875626,8.196735,8.405641,8.499082,8.47535,8.33434,8.077579,7.708243,7.231137,6.65266,5.980743,5.224768,4.395453,3.504725,2.565566,1.591839,0.598098,-0.400618,-1.38901,-2.351746,-3.273702,-4.140203,-4.937266,-5.651839,-6.272031,-6.787334,-7.18882,-7.469332,-7.623638,-7.648565,-7.543102,-7.308463,-6.948123,-6.467807,-5.875443,-5.181075,-4.39673,-3.536251,-2.615086,-1.65004,-0.658996,0.339398,1.326065,2.281858,3.187933,4.026128,4.779345,5.431923,5.970001,6.381846,6.658167,6.792375,6.7808,6.62286,6.32116,5.881531,5.312994,4.627658,3.84053,2.969262,2.033818,1.05607,0.059335,-0.93215,-1.893797,-2.801272,-3.631126,-4.361427,-4.97239,-5.446976,-5.771454,-5.935892,-5.934575,-5.766326,-5.434712,-4.948123,-4.319714,-3.567203,-2.712512,-1.781268,-0.802144,0.193927,1.174663,2.093285,2.921015,3.657187,4.270411,4.728185,5.010406,5.107157,5.011832,4.726319,4.219668,3.687316,3.245623,2.686609,1.734246,0.313096,-0.859794,-1.767123,-2.645207,-3.295599,-3.685356,-3.745766,-3.486898,-2.886067,-2.088516,-1.132566,-0.095658,0.790362,1.774702,2.739349,3.222085,3.004053,2.261044,1.369983,0.401653,-0.597766,-1.582389,-2.508646,-3.337032,-4.033552,-4.57082,-4.928804,-5.095224,-5.065627,-4.843146,-4.438004,-3.866792,-3.151564,-2.318803,-1.3983,-0.422001,0.577161,1.566374,2.514003,3.39053,4.169383,4.827627,5.346498,5.711795,5.91411,5.948915,5.816499,5.521785,5.074019,4.486365,3.775418,2.960644,2.063781,1.108207,0.118296,-0.881215,-1.865847,-2.811956,-3.697273,-4.50138,-5.20613,-5.795987,-6.258302,-6.583506,-6.76523,-6.800353,-6.688967,-6.43429,-6.042505,-5.522547,-4.885847,-4.146023,-3.318552,-2.420407,-1.469685,-0.485224,0.513784,1.508164,2.479123,3.408594,4.279549,5.076287,5.784691,6.392437,6.889173,7.266658
